Product title,Brand,Model,Total price (LKR),Discount price (if available),RAM,Storage,Processor,Battery capacity,Camera specs,Display size,Operating system,Network type,Warranty,Stock availability,Seller / store name,Posted date,Product URL
iPhone 17,Apple,iPhone 17,0,,,256GB,,,,,iOS,,unknown,In stock,Francium,2025-09-10T11:34:29+05:30,https://francium.lk/products/iphone-17
iPhone Air,Apple,iPhone Air,0,,,,,,,,iOS,,unknown,In stock,Francium,2025-09-10T11:34:28+05:30,https://francium.lk/products/iphone-air
iPhone 17 Pro Max,Apple,iPhone 17 Pro Max,0,,,,,,,,iOS,,unknown,In stock,Francium,2025-09-10T11:34:27+05:30,https://francium.lk/products/iphone-17-pro-max
iPhone 17 Pro,Apple,iPhone 17 Pro,0,,,,,,,,iOS,,unknown,In stock,Francium,2025-09-10T11:30:13+05:30,https://francium.lk/products/iphone-17-pro
iPhone 16E,Apple,iPhone 16E,189900,,,,,,,,iOS,,unknown,In stock,Francium,2025-03-17T11:44:04+05:30,https://francium.lk/products/iphone-16e
EarPods (3.5mm Headphone Plug),Apple,EarPods (3.5mm Headphone Plug),6900,,,,,,,,Android,,unknown,In stock,Francium,2025-03-07T01:48:24+05:30,https://francium.lk/products/earpods-3-5mm-headphone-plug
iPhone 13,Apple,iPhone 13,159900,,,,,,,,iOS,,unknown,In stock,Francium,2025-02-09T22:43:56+05:30,https://francium.lk/products/iphone-13
iPhone 14,Apple,iPhone 14,167900,,,,,,,,iOS,,unknown,In stock,Francium,2025-02-09T22:37:23+05:30,https://francium.lk/products/iphone-14
iPhone 15,Apple,iPhone 15,199900,,,,,,,,iOS,,unknown,In stock,Francium,2025-02-09T22:36:30+05:30,https://francium.lk/products/iphone-15
iPhone 16 Plus,Apple,iPhone 16 Plus,284900,,,,,,,,iOS,,unknown,In stock,Francium,2025-02-04T18:37:46+05:30,https://francium.lk/products/iphone-16-plus
iPhone 16,Apple,iPhone 16,234900,,,,,,,,iOS,,unknown,In stock,Francium,2025-02-04T17:43:42+05:30,https://francium.lk/products/iphone-16
Chat,unknown,Chat,,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en
Login,unknown,Login,,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ads/sri-lanka/mobile-phones?login-modal=true&redirect-url=/en/ads/sri-lanka/mobile-phones
Apple iPhone 16 Pro 256 GB (Used),Apple,Apple iPhone 16 Pro 256 GB (Used),260000,,,256 GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ads/sri-lanka?sort=date&order=desc&buy_now=0&urgent=0&page=1
Xiaomi Redmi Note 14 Pro 5G (Brand New),Xiaomi,Xiaomi Redmi Note 14 Pro 5G (Brand New),85000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-note-14-pro-5g-brand-new-for-sale-kandy
Apple iPhone 16 Pro 128GB (Used),Apple,Apple iPhone 16 Pro 128GB (Used),255000,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-16-pro-128gb-used-for-sale-colombo-672
Samsung Galaxy A07 4GB|128GB |4G (Brand New),Samsung,Samsung Galaxy A07 4GB|128GB |4G (Brand New),33490,,,4GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a07-4gb128gb-4g-brand-new-for-sale-colombo
Apple iPhone 12 Pro (Used),Apple,Apple iPhone 12 Pro (Used),97000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-kandy-1239
Realme 8 Pro (Used),Realme,Realme 8 Pro (Used),17000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/realme-8-pro-used-for-sale-matale
Samsung Galaxy A07 8GB|256GB|4G (Brand New),Samsung,Samsung Galaxy A07 8GB|256GB|4G (Brand New),40500,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a07-8gb256gb4g-brand-new-for-sale-colombo-4
Apple iPhone 17 Pro 256GB (Used),Apple,Apple iPhone 17 Pro 256GB (Used),350000,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-17-pro-256gb-used-for-sale-kurunegala-11
Samsung Galaxy Z Flip 256GB (Used),Samsung,Samsung Galaxy Z Flip 256GB (Used),18500,,,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-z-flip-8-256-used-for-sale-ratnapura
Apple iPhone 14 256GB (Used),Apple,Apple iPhone 14 256GB (Used),132999,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-14-256gb-used-for-sale-gampaha-383
Apple iPhone 16 Pro Max 256GB (Used),Apple,Apple iPhone 16 Pro Max 256GB (Used),285000,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-jaffna-33
Xiaomi Redmi 15C 15 (Brand New),Xiaomi,Xiaomi Redmi 15C 15 (Brand New),32000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-15c-15-brand-new-for-sale-batticaloa
Huawei Y9 2018 (Used),Huawei,Huawei Y9 2018 (Used),6000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/huawei-y9-2018-used-for-sale-colombo-1466
Samsung Galaxy S24 Ultra (Used),Samsung,Samsung Galaxy S24 Ultra (Used),185000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-s24-ultra-made-in-vietnam-used-for-sale-kandy
Apple iPhone 8 Plus 256GB (Used),Apple,Apple iPhone 8 Plus 256GB (Used),30000,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-8-plus-256gb-used-for-sale-gampaha-3859
Sony Xperia 1 v/16/256/dual sim (Used),Sony,Sony Xperia 1 v/16/256/dual sim (Used),105000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/sony-xperia-1-v-16-256-dual-sim-used-for-sale-gampaha-15
Apple iPhone XS Max (Used),Apple,Apple iPhone XS Max (Used),35000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-xs-max-all-used-for-sale-kegalle
Samsung Galaxy F23 6GB 128GB (Used),Samsung,Samsung Galaxy F23 6GB 128GB (Used),34500,,,6GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-f23-6gb-128gb-used-for-sale-kandy-1
Huawei Y9 (Used),Huawei,Huawei Y9 (Used),9000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/huawei-y9-used-for-sale-colombo-1581
Xiaomi Redmi A3 (Used),Xiaomi,Xiaomi Redmi A3 (Used),21500,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-a3-used-for-sale-kalutara-18
Apple iPhone 13 Pro (Used),Apple,Apple iPhone 13 Pro (Used),70000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-13-pro-used-for-sale-colombo-2166
Oppo F17 (Used),Oppo,Oppo F17 (Used),10000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/oppo-f17-used-for-sale-kandy-1
Infinix Note 50 (Brand New),Infinix,Infinix Note 50 (Brand New),26600,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/infinix-note-50-brand-new-for-sale-colombo-49
OnePlus Nord CE 2 Lite (Used),OnePlus,OnePlus Nord CE 2 Lite (Used),22500,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/oneplus-nord-ce-2-lite-used-for-sale-gampaha
Apple iPhone 15 Pro Max (Used),Apple,Apple iPhone 15 Pro Max (Used),22000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-15-pro-max-used-for-sale-colombo-2432
Apple iPhone X 256GB (Used),Apple,Apple iPhone X 256GB (Used),10000,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-x-256gb-used-for-sale-colombo-10786
Samsung Galaxy S25 (Used),Samsung,Samsung Galaxy S25 (Used),190000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-s25-brand-new-for-sale-colombo-52
Vivo Y85 6GB/128GB÷×+ (Used),Vivo,Vivo Y85 6GB/128GB÷×+ (Used),9300,,,6GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ads/sri-lanka?sort=date&order=desc&buy_now=0&urgent=0&page=2
Honor 400 Pro 5G 512GB/12GB 200MP (Brand New),Honor,Honor 400 Pro 5G 512GB/12GB 200MP (Brand New),99900,,,512GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/honor-400-pro-5g-512gb-12gb-200mp-brand-new-for-sale-colombo-7
Apple iPhone 14 128GB (Used),Apple,Apple iPhone 14 128GB (Used),119999,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5918
OnePlus 11 256GB (Used),OnePlus,OnePlus 11 256GB (Used),90000,,,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/oneplus-11-256gb-used-for-sale-ampara
Apple iPhone 14 Pro (Used),Apple,Apple iPhone 14 Pro (Used),170000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kandy-416
Apple iPhone 12 (Used),Apple,Apple iPhone 12 (Used),85000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-12-quick-sall-used-for-sale-polonnaruwa-1
Apple iPhone 12 Pro (Used),Apple,Apple iPhone 12 Pro (Used),96000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-anuradhapura-482
Apple iPhone 16 Pro Max (Used),Apple,Apple iPhone 16 Pro Max (Used),319500,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-16-pro-max-used-for-sale-kandy-218
Apple iPhone XS (Used),Apple,Apple iPhone XS (Used),42000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-kalutara-1167
Apple iPhone X (Used),Apple,Apple iPhone X (Used),41500,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-x-used-for-sale-kandy-3702
Google Pixel 7 Pro 12GB -128GB - Global (Used),Google,Google Pixel 7 Pro 12GB -128GB - Global (Used),89999,,,12GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/google-pixel-7-pro-12gb-128gb-global-used-for-sale-colombo-1
Xiaomi Redmi 14C (Used),Xiaomi,Xiaomi Redmi 14C (Used),31000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-14c-ex-ok-used-for-sale-badulla
Huawei Y7 Pro (Used),Huawei,Huawei Y7 Pro (Used),8000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/huawei-y7-pro-y-7-2018-used-for-sale-gampaha
Apple iPhone 15 Pro Max 256GB (Used),Apple,Apple iPhone 15 Pro Max 256GB (Used),223000,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256-used-for-sale-jaffna-5
Apple iPhone 11 Pro 256GB (Used),Apple,Apple iPhone 11 Pro 256GB (Used),84999,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-colombo-11512
Samsung Galaxy S21 5G 256GB 64MP Violet (Used),Samsung,Samsung Galaxy S21 5G 256GB 64MP Violet (Used),64990,,,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-s21-5g-256gb-64mp-violet-used-for-sale-colombo-20
Sony Xperia XZ2 4GB/64GB f (Used),Sony,Sony Xperia XZ2 4GB/64GB f (Used),18990,,,4GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/sony-xperia-xz2-4gb-64gb-f-used-for-sale-colombo
Oppo A3s 6GB/ 128GB jj (Used),Oppo,Oppo A3s 6GB/ 128GB jj (Used),9300,,,6GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/oppo-a3s-6gb-128gb-jj-used-for-sale-colombo-2
Apple iPhone 13 128GB (Used),Apple,Apple iPhone 13 128GB (Used),102999,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-10752
Samsung Galaxy S20 Ultra (Used),Samsung,Samsung Galaxy S20 Ultra (Used),45000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-s20-ultra-used-for-sale-ratnapura-30
Oppo A31 8GB 256GB .....n (Used),Oppo,Oppo A31 8GB 256GB .....n (Used),12490,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/oppo-a31-8gb-256gb-n-used-for-sale-colombo-11
Samsung Galaxy A07 (Brand New),Samsung,Samsung Galaxy A07 (Brand New),33490,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a07-brand-new-for-sale-colombo-230
Apple iPhone 16 Pro Max 256GB (Used),Apple,Apple iPhone 16 Pro Max 256GB (Used),284900,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2376
"Samsung Galaxy A14 5G/4GB/128GB,, (Used)",Samsung,"Samsung Galaxy A14 5G/4GB/128GB,, (Used)",26500,,,4GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a14-5g-4gb-128gb-used-for-sale-colombo-2
Samsung Galaxy M13 4GB/ 128GB j (Used),Samsung,Samsung Galaxy M13 4GB/ 128GB j (Used),24000,,,4GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-m13-4gb-128gb-j-used-for-sale-colombo
Apple iPhone 16 Pro Max 256GB Black (Used),Apple,Apple iPhone 16 Pro Max 256GB Black (Used),289990,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-black-used-for-sale-colombo-37
Apple iPhone 8 (Used),Apple,Apple iPhone 8 (Used),20000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-8-iphone8-used-for-sale-colombo-1
Oppo A6 Pro 8/256GB 50MP (Brand New),Oppo,Oppo A6 Pro 8/256GB 50MP (Brand New),85990,,,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ads/sri-lanka?sort=date&order=desc&buy_now=0&urgent=0&page=3
Oppo A5 Pro 256GB 8GBRAM 50M (Brand New),Oppo,Oppo A5 Pro 256GB 8GBRAM 50M (Brand New),25100,,8GBRAM,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/oppo-a5-pro-256gb-8gbram-50m-brand-new-for-sale-colombo-2
Xiaomi Redmi 15C 8GB 256GB (Brand New),Xiaomi,Xiaomi Redmi 15C 8GB 256GB (Brand New),45000,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-15c-8gb-256gb-brand-new-for-sale-colombo-14
Apple iPhone 12 Pro 256GB (Used),Apple,Apple iPhone 12 Pro 256GB (Used),99999,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10467
Xiaomi Redmi 13C 5G/6GB/128GB h (Used),Xiaomi,Xiaomi Redmi 13C 5G/6GB/128GB h (Used),25500,,,6GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-13c-5g-6gb-128gb-h-used-for-sale-colombo
Oppo F9 6GB/128GB d (Used),Oppo,Oppo F9 6GB/128GB d (Used),14600,,,6GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/oppo-f9-6gb-128gb-d-used-for-sale-colombo
NOTHING Phone 2a | 12GB 256GB (Brand New),unknown,NOTHING Phone 2a | 12GB 256GB (Brand New),89900,,,12GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/nothing-phone-2a-12gb-256gb-brand-new-for-sale-colombo-8
Vivo Y85 6GB/128GB jj (Used),Vivo,Vivo Y85 6GB/128GB jj (Used),9300,,,6GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/vivo-y85-6gb-128gb-jj-used-for-sale-colombo-5
Apple iPhone 15 Pro Max 256GB (Used),Apple,Apple iPhone 15 Pro Max 256GB (Used),238000,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5806
Xiaomi Redmi 15C 4gb 128gb (Brand New),Xiaomi,Xiaomi Redmi 15C 4gb 128gb (Brand New),36999,,,4gb,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-15c-4gb-128gb-brand-new-for-sale-colombo-72
Xiaomi Redmi A5 4gb 128gb (Brand New),Xiaomi,Xiaomi Redmi A5 4gb 128gb (Brand New),28999,,,4gb,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-a5-4gb-128gb-brand-new-for-sale-colombo-145
Samsung Galaxy A07 4GB 64GB (Brand New),Samsung,Samsung Galaxy A07 4GB 64GB (Brand New),35490,,,4GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a07-4gb-64gb-brand-new-for-sale-colombo-417
Samsung Galaxy F07 4GB 64GB (Brand New),Samsung,Samsung Galaxy F07 4GB 64GB (Brand New),34990,,,4GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-f07-4gb-64gb-brand-new-for-sale-colombo-51
Apple iPhone 14 Pro 256GB (Used),Apple,Apple iPhone 14 Pro 256GB (Used),169500,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-gampaha-2395
Samsung Galaxy A07 8GB/256GB (Brand New),Samsung,Samsung Galaxy A07 8GB/256GB (Brand New),40800,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a07-8gb-256gb-brand-new-for-sale-colombo-203
NOTHING Phone 3 | 12GB 256GB (Brand New),unknown,NOTHING Phone 3 | 12GB 256GB (Brand New),199900,,,12GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/nothing-phone-3-12gb-256gb-brand-new-for-sale-colombo
Vivo Y17 8GB 256GB j (Used),Vivo,Vivo Y17 8GB 256GB j (Used),11990,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/vivo-y17-8gb-256gb-j-used-for-sale-colombo-12
Apple iPhone 14 128GB (Used),Apple,Apple iPhone 14 128GB (Used),126999,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5985
Honor Magic 8 Lite (Brand New),Honor,Honor Magic 8 Lite (Brand New),200000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/honor-magic-8-late-brand-new-for-sale-gampaha
Google Pixel 8 Pro 128GB (Used),Google,Google Pixel 8 Pro 128GB (Used),118900,,,128GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/google-pixel-8-pro-128gb-used-for-sale-colombo-130
Apple iPhone 15 Pro Max (Used),Apple,Apple iPhone 15 Pro Max (Used),245000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-15-pro-max-used-for-sale-batticaloa-286
Samsung Galaxy A07 4GB/128GB (Brand New),Samsung,Samsung Galaxy A07 4GB/128GB (Brand New),32200,,,4GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a07-4gb-128gb-brand-new-for-sale-colombo-206
Vivo Y93 6GB/ 128GB q (Used),Vivo,Vivo Y93 6GB/ 128GB q (Used),9300,,,6GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/vivo-y93-6gb-128gb-q-used-for-sale-colombo-14
Samsung B310E (Brand New),Samsung,Samsung B310E (Brand New),5450,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-b310e-brand-new-for-sale-colombo
Vivo Y85 6GB 126GB (Used),Vivo,Vivo Y85 6GB 126GB (Used),10788,,,6GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/vivo-y85-6gb-126gb-used-for-sale-colombo
Oppo A5 Pro 256GB Black (Brand New),Oppo,Oppo A5 Pro 256GB Black (Brand New),68990,,,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/oppo-a5-pro-256gb-black-brand-new-for-sale-colombo-5
Google Pixel 9 Pro (Used),Google,Google Pixel 9 Pro (Used),180000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/google-pixel-9-pro-used-for-sale-batticaloa
Samsung Galaxy Z Fold 5 12GB 512GB 5G (Used),Samsung,Samsung Galaxy Z Fold 5 12GB 512GB 5G (Used),179900,,,12GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ads/sri-lanka?sort=date&order=desc&buy_now=0&urgent=0&page=4
COOLPAD CP12 (Brand New),unknown,COOLPAD CP12 (Brand New),24899,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/coolpad-cp12-brand-new-for-sale-colombo
Oppo F11 (Used),Oppo,Oppo F11 (Used),12490,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/oppo-f11-used-for-sale-colombo-158
Apple iPhone 13 Pro 5G- cinematic (Used),Apple,Apple iPhone 13 Pro 5G- cinematic (Used),118000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-13-pro-5g-cinematic-used-for-sale-colombo-9
Vivo Y93 6GB 128GB (Used),Vivo,Vivo Y93 6GB 128GB (Used),10788,,,6GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/vivo-y93-6gb-128gb-used-for-sale-colombo-8719
Infinix Hot 60i 8GB 256GB (Brand New),Infinix,Infinix Hot 60i 8GB 256GB (Brand New),46900,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/infinix-hot-60i-8gb-256gb-brand-new-for-sale-colombo-12
Samsung Galaxy S23 FE 5G 256GB 8GB Purple (Used),Samsung,Samsung Galaxy S23 FE 5G 256GB 8GB Purple (Used),94990,,,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-s23-fe-5g-256gb-8gb-purple-used-for-sale-colombo-5
Apple iPhone 13 128GB (Used),Apple,Apple iPhone 13 128GB (Used),99500,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-gampaha-6701
Vivo Y17 8GB 256GB (Used),Vivo,Vivo Y17 8GB 256GB (Used),13488,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/vivo-y17-8gb-256gb-used-for-sale-colombo-4397
Infinix Note 50 (4G) 8GB 256GB (Brand New),Infinix,Infinix Note 50 (4G) 8GB 256GB (Brand New),75900,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/infinix-note-50-4g-8gb-256gb-brand-new-for-sale-colombo-1
Vivo Y11 8GB 256GB (Used),Vivo,Vivo Y11 8GB 256GB (Used),12788,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/vivo-y11-8gb-256gb-used-for-sale-colombo-11
Apple iPhone 13 128GB Starlight (Used),Apple,Apple iPhone 13 128GB Starlight (Used),99990,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-13-128gb-starlight-used-for-sale-colombo-32
Apple iPhone 11 128GB (Used),Apple,Apple iPhone 11 128GB (Used),72500,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-batticaloa-311
Apple iPhone 16 128GB. (Brand New),Apple,Apple iPhone 16 128GB. (Brand New),221000,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-16-128gb-brand-new-for-sale-colombo-989
Samsung Galaxy A07 4GB/64GB (Brand New),Samsung,Samsung Galaxy A07 4GB/64GB (Brand New),28850,,,4GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a07-4gb-64gb-brand-new-for-sale-colombo-447
Apple iPhone 15 128GB. (Brand New),Apple,Apple iPhone 15 128GB. (Brand New),187000,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-15-128gb-brand-new-for-sale-colombo-986
itel A50c (Used),unknown,itel A50c (Used),15000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/itel-a50c-used-for-sale-colombo-4
Samsung Galaxy A36 8GB/128GB 5G (Brand New),Samsung,Samsung Galaxy A36 8GB/128GB 5G (Brand New),75490,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a36-8gb-128gb-5g-brand-new-for-sale-colombo-2
Apple iPhone 12 Pro Max (Used),Apple,Apple iPhone 12 Pro Max (Used),90000,,,,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-trincomalee-554
Honor X5C Plus 128GB Blue (Brand New),Honor,Honor X5C Plus 128GB Blue (Brand New),34990,,,128GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/honor-x5c-plus-128gb-blue-brand-new-for-sale-colombo-8
