Product title,Brand,Model,Total price (LKR),Discount price (if available),RAM,Storage,Processor,Battery capacity,Camera specs,Display size,Operating system,Network type,Warranty,Stock availability,Seller / store name,Posted date,Product URL
Google Pixel 6a 5G 128GB 6GB RAM (Used),Google,Google Pixel 6a 5G 128GB 6GB RAM (Used),45900,,6GB RAM,128GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/google-pixel-6a-5g-128gb-6gb-ram-used-for-sale-colombo-246
Oppo A31 (Used),Oppo,Oppo A31 (Used),20000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/oppo-a31-brand-new-for-sale-kegalle-1
Apple iPhone 16 Pro Max 256GB (Used),Apple,Apple iPhone 16 Pro Max 256GB (Used),285999,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2418
Apple iPhone 13 Pro Max 246GB (Used),Apple,Apple iPhone 13 Pro Max 246GB (Used),164900,,,246GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-13-pro-max-246gb-used-for-sale-kandy
Xiaomi Redmi 15C 128GB 6GBRam Blue (Brand New),Xiaomi,Xiaomi Redmi 15C 128GB 6GBRam Blue (Brand New),44900,,6GBRam,128GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-15c-128gb-6gbram-blue-brand-new-for-sale-colombo-1
Oppo A5x 4GB|128GB (Brand New),Oppo,Oppo A5x 4GB|128GB (Brand New),38490,,,4GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/oppo-a5x-4gb128gb-brand-new-for-sale-colombo-18
Sony 10 mark 5 128GB (Used),Sony,Sony 10 mark 5 128GB (Used),37900,,,128GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/sony-10-mark-5-128gb-used-for-sale-colombo-16
Apple iPhone 14 Pro 256GB (Used),Apple,Apple iPhone 14 Pro 256GB (Used),154500,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-kandy-411
Apple iPhone 13 Pro Max 128GB (Used),Apple,Apple iPhone 13 Pro Max 128GB (Used),154900,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-13-pro-max-128gb-used-for-sale-kandy-271
Nokia 150 105 (Brand New),Nokia,Nokia 150 105 (Brand New),6490,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/nokia-150-105-brand-new-for-sale-colombo
Vivo (Used),Vivo,Vivo (Used),30000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/vivo-used-for-sale-colombo-310
Apple iPhone X 256GB (Used),Apple,Apple iPhone X 256GB (Used),37000,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-x-256gb-used-for-sale-kurunegala-1759
Apple iPhone 14 Pro 128GB Purple (Used),Apple,Apple iPhone 14 Pro 128GB Purple (Used),164900,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-14-pro-128gb-purple-used-for-sale-colombo-69
Apple iPhone 14 128GB (Used),Apple,Apple iPhone 14 128GB (Used),108500,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-gampaha-2073
Samsung Galaxy S25 (Brand New),Samsung,Samsung Galaxy S25 (Brand New),176000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-s25-brand-new-for-sale-matale
Apple iPhone 11 Pro 256GB (Used),Apple,Apple iPhone 11 Pro 256GB (Used),89500,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-anuradhapura-462
Apple iPhone 15 Pro 256GB (Used),Apple,Apple iPhone 15 Pro 256GB (Used),209999,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-colombo-1821
Google Pixel 6 256GB (Used),Google,Google Pixel 6 256GB (Used),60000,,,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/google-pixel-6-256gb-used-for-sale-colombo-143
Samsung X cover pro 5G (Used),Samsung,Samsung X cover pro 5G (Used),24900,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-x-cover-pro-5g-used-for-sale-colombo-8
Nokia HMD AURA2|4GB|128GB (Brand New),Nokia,Nokia HMD AURA2|4GB|128GB (Brand New),27490,,,4GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/nokia-hmd-aura24gb128gb-brand-new-for-sale-colombo
Apple iPhone 13 Pro 256GB (Used),Apple,Apple iPhone 13 Pro 256GB (Used),132999,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-colombo-4840
Xiaomi Redmi 15 8|256GB|ANDROID (Brand New),Xiaomi,Xiaomi Redmi 15 8|256GB|ANDROID (Brand New),47990,,,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-15-8256gbandroid-brand-new-for-sale-colombo-1
Apple iPhone 11 128GB FULLSET BOX (Used),Apple,Apple iPhone 11 128GB FULLSET BOX (Used),72500,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-11-128gb-fullset-box-used-for-sale-anuradhapura
Xiaomi Redmi Note 14 Pro Plus 12GB|512GB|ANDROID (Brand New),Xiaomi,Xiaomi Redmi Note 14 Pro Plus 12GB|512GB|ANDROID (Brand New),112490,,,12GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-note-14-pro-plus-12gb512gbandroid-brand-new-for-sale-colombo-4
Infinix (Used),Infinix,Infinix (Used),30000,,,,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/infinix-used-for-sale-colombo-51
Xiaomi Redmi Note 15 5G 256GB Purple (Brand New),Xiaomi,Xiaomi Redmi Note 15 5G 256GB Purple (Brand New),89990,,,256GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-note-15-5g-256gb-purple-brand-new-for-sale-colombo
Apple iPhone SE 2 128GB (Used),Apple,Apple iPhone SE 2 128GB (Used),47500,,,128GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-se-2-128gb-used-for-sale-anuradhapura-330
Nokia HMD Crest |6GB|128GB (Brand New),Nokia,Nokia HMD Crest |6GB|128GB (Brand New),39490,,,6GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/nokia-hmd-crest-6gb128gb-brand-new-for-sale-colombo
